FlightDate,Reporting_Airline,OriginAirportSeqID,OriginState,DepDelayMinutes,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
8/1/23,9E,1247805,NY,0,0,,0,,,,,
8/2/23,9E,1247805,NY,0,0,,0,,,,,
8/3/23,9E,1247805,NY,0,0,,0,,,,,
8/4/23,9E,1247805,NY,,1,C,0,,,,,
8/6/23,9E,1247805,NY,25,0,,0,,,,,
8/7/23,9E,1247805,NY,,1,B,0,,,,,
8/8/23,9E,1247805,NY,56,0,,0,0,0,6,0,16
8/9/23,9E,1247805,NY,0,0,,0,,,,,
8/10/23,9E,1247805,NY,2,0,,0,0,0,22,0,0
8/11/23,9E,1247805,NY,20,0,,0,,,,,
8/13/23,9E,1247805,NY,7,0,,0,,,,,
8/14/23,9E,1247805,NY,0,0,,0,,,,,
8/15/23,9E,1247805,NY,0,0,,0,,,,,
8/16/23,9E,1247805,NY,8,0,,0,,,,,
8/17/23,9E,1247805,NY,0,0,,0,,,,,
8/18/23,9E,1247805,NY,81,0,,0,0,0,0,0,74
8/20/23,9E,1247805,NY,0,0,,0,,,,,
8/21/23,9E,1247805,NY,26,0,,0,,,,,
8/22/23,9E,1247805,NY,0,0,,0,,,,,
8/23/23,9E,1247805,NY,0,0,,0,,,,,
8/24/23,9E,1247805,NY,0,0,,0,,,,,
8/25/23,9E,1247805,NY,0,0,,0,,,,,
8/27/23,9E,1247805,NY,0,0,,0,0,0,32,0,0
8/28/23,9E,1247805,NY,0,0,,0,,,,,
8/29/23,9E,1247805,NY,0,0,,1,,,,,
8/30/23,9E,1247805,NY,0,0,,0,,,,,
8/31/23,9E,1247805,NY,0,0,,0,,,,,
8/1/23,9E,1509602,NY,0,0,,0,,,,,
8/2/23,9E,1509602,NY,0,0,,0,,,,,
8/3/23,9E,1509602,NY,0,0,,0,,,,,
8/4/23,9E,1509602,NY,0,0,,0,,,,,
8/5/23,9E,1509602,NY,81,0,,0,66,0,0,0,0
8/6/23,9E,1509602,NY,0,0,,0,,,,,
8/7/23,9E,1509602,NY,0,0,,0,,,,,
8/8/23,9E,1509602,NY,0,0,,0,,,,,
8/9/23,9E,1509602,NY,656,0,,0,640,0,0,0,0
8/10/23,9E,1509602,NY,151,0,,0,0,0,0,0,141
8/11/23,9E,1509602,NY,0,0,,0,,,,,
8/12/23,9E,1509602,NY,0,0,,0,,,,,
8/13/23,9E,1509602,NY,0,0,,0,,,,,
8/14/23,9E,1509602,NY,0,0,,0,,,,,
8/15/23,9E,1509602,NY,0,0,,0,,,,,
8/16/23,9E,1509602,NY,0,0,,0,,,,,
8/17/23,9E,1509602,NY,0,0,,0,,,,,
8/18/23,9E,1509602,NY,0,0,,0,,,,,
8/19/23,9E,1509602,NY,8,0,,0,,,,,
8/20/23,9E,1509602,NY,0,0,,0,,,,,
8/21/23,9E,1509602,NY,0,0,,0,,,,,
8/22/23,9E,1509602,NY,0,0,,0,,,,,
8/23/23,9E,1509602,NY,0,0,,0,,,,,
8/24/23,9E,1509602,NY,,1,C,0,,,,,
8/25/23,9E,1509602,NY,0,0,,0,,,,,
8/26/23,9E,1509602,NY,0,0,,0,,,,,
8/27/23,9E,1509602,NY,14,0,,0,,,,,
8/28/23,9E,1509602,NY,0,0,,0,,,,,
8/29/23,9E,1509602,NY,0,0,,0,,,,,
8/30/23,9E,1509602,NY,0,0,,0,,,,,
8/31/23,9E,1509602,NY,0,0,,0,,,,,
8/1/23,9E,1295304,NY,0,0,,0,,,,,
8/2/23,9E,1295304,NY,6,0,,0,,,,,
8/3/23,9E,1295304,NY,0,0,,0,,,,,
8/4/23,9E,1295304,NY,4,0,,0,,,,,
8/7/23,9E,1295304,NY,0,0,,0,,,,,
8/8/23,9E,1295304,NY,16,0,,0,,,,,
8/9/23,9E,1295304,NY,0,0,,0,,,,,
8/10/23,9E,1295304,NY,7,0,,0,,,,,
8/11/23,9E,1295304,NY,0,0,,0,,,,,
8/14/23,9E,1295304,NY,0,0,,0,,,,,
8/15/23,9E,1295304,NY,0,0,,0,,,,,
8/16/23,9E,1295304,NY,0,0,,0,,,,,
8/17/23,9E,1295304,NY,0,0,,0,,,,,
8/18/23,9E,1295304,NY,44,0,,0,0,0,0,0,37
8/21/23,9E,1295304,NY,15,0,,0,,,,,
8/22/23,9E,1295304,NY,0,0,,0,,,,,
8/23/23,9E,1295304,NY,0,0,,0,,,,,
8/24/23,9E,1295304,NY,118,0,,0,103,0,0,0,9
8/25/23,9E,1295304,NY,33,0,,0,,,,,
8/28/23,9E,1295304,NY,0,0,,0,,,,,
8/29/23,9E,1295304,NY,0,0,,0,,,,,
8/30/23,9E,1295304,NY,0,0,,0,,,,,
8/31/23,9E,1295304,NY,0,0,,0,,,,,
8/1/23,9E,1058102,ME,0,0,,0,,,,,
8/2/23,9E,1058102,ME,0,0,,0,,,,,
8/3/23,9E,1058102,ME,0,0,,0,,,,,
8/4/23,9E,1058102,ME,0,0,,0,,,,,
8/6/23,9E,1058102,ME,0,0,,0,,,,,
8/7/23,9E,1058102,ME,0,0,,0,,,,,
8/8/23,9E,1058102,ME,,1,A,0,,,,,
8/9/23,9E,1058102,ME,0,0,,0,,,,,
8/10/23,9E,1058102,ME,0,0,,0,,,,,
8/11/23,9E,1058102,ME,0,0,,0,,,,,
8/13/23,9E,1058102,ME,0,0,,0,,,,,
8/14/23,9E,1058102,ME,0,0,,0,,,,,
8/15/23,9E,1058102,ME,0,0,,0,,,,,
8/16/23,9E,1058102,ME,0,0,,0,,,,,
8/17/23,9E,1058102,ME,0,0,,0,,,,,
8/18/23,9E,1058102,ME,0,0,,0,,,,,
8/20/23,9E,1058102,ME,63,0,,0,14,0,0,0,41
8/21/23,9E,1058102,ME,0,0,,0,,,,,
8/22/23,9E,1058102,ME,0,0,,0,,,,,
8/23/23,9E,1058102,ME,0,0,,0,,,,,
8/24/23,9E,1058102,ME,0,0,,0,,,,,
8/25/23,9E,1058102,ME,0,0,,0,,,,,
8/27/23,9E,1058102,ME,0,0,,0,,,,,
8/28/23,9E,1058102,ME,0,0,,0,,,,,
8/29/23,9E,1058102,ME,0,0,,0,,,,,
8/30/23,9E,1058102,ME,0,0,,0,,,,,
8/31/23,9E,1058102,ME,0,0,,0,,,,,
8/1/23,9E,1295304,NY,0,0,,0,,,,,
8/2/23,9E,1295304,NY,0,0,,0,,,,,
8/3/23,9E,1295304,NY,0,0,,0,,,,,
8/4/23,9E,1295304,NY,18,0,,0,,,,,
8/6/23,9E,1295304,NY,0,0,,0,,,,,
8/7/23,9E,1295304,NY,0,0,,0,,,,,
8/8/23,9E,1295304,NY,,1,A,0,,,,,
8/9/23,9E,1295304,NY,0,0,,0,,,,,
8/10/23,9E,1295304,NY,0,0,,0,,,,,
8/11/23,9E,1295304,NY,36,0,,0,15,0,0,0,0
8/13/23,9E,1295304,NY,0,0,,0,,,,,
8/14/23,9E,1295304,NY,0,0,,0,,,,,
8/15/23,9E,1295304,NY,0,0,,0,,,,,
8/16/23,9E,1295304,NY,0,0,,0,,,,,
8/17/23,9E,1295304,NY,0,0,,0,,,,,
8/18/23,9E,1295304,NY,0,0,,0,,,,,
8/20/23,9E,1295304,NY,76,0,,0,49,0,0,0,0
8/21/23,9E,1295304,NY,0,0,,0,,,,,
8/22/23,9E,1295304,NY,2,0,,0,,,,,
8/23/23,9E,1295304,NY,0,0,,0,,,,,
8/24/23,9E,1295304,NY,13,0,,0,,,,,
8/25/23,9E,1295304,NY,1,0,,0,,,,,
8/27/23,9E,1295304,NY,0,0,,0,,,,,
8/28/23,9E,1295304,NY,0,0,,0,,,,,
8/29/23,9E,1295304,NY,0,0,,0,,,,,
8/30/23,9E,1295304,NY,0,0,,0,,,,,
8/31/23,9E,1295304,NY,35,0,,0,18,0,0,0,0
8/1/23,9E,1295304,NY,0,0,,0,,,,,
8/2/23,9E,1295304,NY,0,0,,0,,,,,
8/3/23,9E,1295304,NY,0,0,,0,,,,,
8/4/23,9E,1295304,NY,0,0,,0,0,0,45,0,0
8/6/23,9E,1295304,NY,0,0,,0,,,,,
8/7/23,9E,1295304,NY,33,0,,0,0,0,58,0,0
8/8/23,9E,1295304,NY,91,0,,0,9,0,15,0,82
8/9/23,9E,1295304,NY,0,0,,0,,,,,
8/10/23,9E,1295304,NY,12,0,,0,,,,,
8/11/23,9E,1295304,NY,104,0,,0,83,0,0,0,0
8/13/23,9E,1295304,NY,8,0,,0,,,,,
8/14/23,9E,1295304,NY,5,0,,0,,,,,
8/15/23,9E,1295304,NY,8,0,,0,,,,,
8/16/23,9E,1295304,NY,0,0,,0,,,,,
8/17/23,9E,1295304,NY,0,0,,0,,,,,
8/18/23,9E,1295304,NY,2,0,,0,,,,,
8/20/23,9E,1295304,NY,2,0,,0,,,,,
8/21/23,9E,1295304,NY,0,0,,0,,,,,
8/22/23,9E,1295304,NY,0,0,,0,,,,,
8/23/23,9E,1295304,NY,0,0,,0,,,,,
8/24/23,9E,1295304,NY,0,0,,0,,,,,
8/25/23,9E,1295304,NY,142,0,,0,0,0,0,0,126
8/27/23,9E,1295304,NY,0,0,,0,,,,,
8/28/23,9E,1295304,NY,0,0,,0,,,,,
8/29/23,9E,1295304,NY,0,0,,0,,,,,
8/30/23,9E,1295304,NY,0,0,,0,,,,,
8/31/23,9E,1295304,NY,0,0,,0,,,,,
8/1/23,9E,1058102,ME,0,0,,0,,,,,
8/2/23,9E,1058102,ME,0,0,,0,,,,,
8/3/23,9E,1058102,ME,0,0,,0,,,,,
8/4/23,9E,1058102,ME,0,0,,0,0,0,20,0,0
8/5/23,9E,1058102,ME,0,0,,0,,,,,
8/6/23,9E,1058102,ME,0,0,,0,,,,,
8/7/23,9E,1058102,ME,799,0,,0,0,0,789,0,0
8/8/23,9E,1058102,ME,0,0,,0,0,0,23,0,0
8/9/23,9E,1058102,ME,0,0,,0,,,,,
8/10/23,9E,1058102,ME,93,0,,0,0,0,86,0,0
8/11/23,9E,1058102,ME,0,0,,0,,,,,
8/12/23,9E,1058102,ME,85,0,,0,0,0,105,0,0
8/13/23,9E,1058102,ME,133,0,,0,0,0,0,0,116
8/14/23,9E,1058102,ME,0,0,,0,,,,,
8/15/23,9E,1058102,ME,0,0,,0,,,,,
8/16/23,9E,1058102,ME,0,0,,0,,,,,
8/17/23,9E,1058102,ME,127,0,,0,0,0,123,0,0
8/18/23,9E,1058102,ME,0,0,,0,0,0,37,0,0
8/19/23,9E,1058102,ME,0,0,,0,,,,,
8/20/23,9E,1058102,ME,0,0,,0,,,,,
8/21/23,9E,1058102,ME,0,0,,0,,,,,
8/22/23,9E,1058102,ME,0,0,,0,,,,,
8/23/23,9E,1058102,ME,0,0,,0,,,,,
8/24/23,9E,1058102,ME,0,0,,0,,,,,
8/25/23,9E,1058102,ME,0,0,,0,,,,,
8/26/23,9E,1058102,ME,0,0,,0,,,,,
8/27/23,9E,1058102,ME,0,0,,0,,,,,
8/28/23,9E,1058102,ME,0,0,,0,0,0,19,0,0
8/29/23,9E,1058102,ME,0,0,,0,,,,,
8/30/23,9E,1058102,ME,0,0,,0,,,,,
8/31/23,9E,1058102,ME,0,0,,0,,,,,
8/5/23,9E,1247805,NY,0,0,,0,,,,,
8/12/23,9E,1247805,NY,0,0,,0,,,,,
8/19/23,9E,1247805,NY,0,0,,0,,,,,
8/26/23,9E,1247805,NY,0,0,,0,,,,,
8/5/23,9E,1295304,NY,0,0,,0,,,,,
8/12/23,9E,1295304,NY,30,0,,0,0,0,0,0,24
8/19/23,9E,1295304,NY,0,0,,0,,,,,
8/26/23,9E,1295304,NY,0,0,,0,,,,,
8/1/23,9E,1295304,NY,46,0,,0,20,0,0,0,0
8/2/23,9E,1295304,NY,0,0,,0,,,,,
8/3/23,9E,1295304,NY,0,0,,0,,,,,
8/4/23,9E,1295304,NY,0,0,,0,,,,,
8/7/23,9E,1295304,NY,0,0,,0,,,,,
8/8/23,9E,1295304,NY,,1,A,0,,,,,
8/9/23,9E,1295304,NY,0,0,,0,,,,,
8/10/23,9E,1295304,NY,159,0,,0,159,0,12,0,0
8/11/23,9E,1295304,NY,0,0,,0,,,,,
8/14/23,9E,1295304,NY,0,0,,0,,,,,
8/15/23,9E,1295304,NY,0,0,,0,,,,,
8/16/23,9E,1295304,NY,0,0,,0,,,,,
8/17/23,9E,1295304,NY,0,0,,0,,,,,
8/18/23,9E,1295304,NY,5,0,,0,0,0,56,0,0
8/21/23,9E,1295304,NY,0,0,,0,,,,,
8/22/23,9E,1295304,NY,0,0,,0,,,,,
8/23/23,9E,1295304,NY,0,0,,0,,,,,
8/24/23,9E,1295304,NY,0,0,,0,,,,,
8/25/23,9E,1295304,NY,0,0,,0,,,,,
8/28/23,9E,1295304,NY,0,0,,0,,,,,
8/29/23,9E,1295304,NY,0,0,,0,,,,,
8/30/23,9E,1295304,NY,0,0,,0,,,,,
8/31/23,9E,1295304,NY,0,0,,0,,,,,
8/1/23,9E,1295304,NY,0,0,,0,,,,,
8/2/23,9E,1295304,NY,20,0,,0,0,0,41,0,0
8/3/23,9E,1295304,NY,0,0,,0,,,,,
8/4/23,9E,1295304,NY,51,0,,0,51,0,10,0,0
8/1/23,9E,1295304,NY,0,0,,0,,,,,
8/2/23,9E,1295304,NY,0,0,,0,,,,,
8/3/23,9E,1295304,NY,0,0,,0,,,,,
8/4/23,9E,1295304,NY,,1,C,0,,,,,
8/6/23,9E,1295304,NY,0,0,,0,,,,,
8/7/23,9E,1295304,NY,27,0,,0,16,0,10,0,11
8/8/23,9E,1295304,NY,0,0,,0,,,,,
8/9/23,9E,1295304,NY,13,0,,0,,,,,
8/10/23,9E,1295304,NY,35,0,,0,33,0,0,0,0
8/11/23,9E,1295304,NY,60,0,,0,0,0,0,0,42
8/13/23,9E,1295304,NY,0,0,,0,,,,,
8/14/23,9E,1295304,NY,33,0,,0,0,0,0,0,25
8/15/23,9E,1295304,NY,0,0,,0,,,,,
8/16/23,9E,1295304,NY,0,0,,0,,,,,
8/17/23,9E,1295304,NY,0,0,,0,,,,,
8/18/23,9E,1295304,NY,0,0,,0,,,,,
8/20/23,9E,1295304,NY,0,0,,0,,,,,
8/21/23,9E,1295304,NY,6,0,,0,,,,,
8/22/23,9E,1295304,NY,0,0,,0,,,,,
8/23/23,9E,1295304,NY,0,0,,1,,,,,
8/24/23,9E,1295304,NY,62,0,,0,0,0,6,0,62
8/25/23,9E,1295304,NY,34,0,,0,22,0,0,0,0
8/27/23,9E,1295304,NY,0,0,,0,,,,,
8/28/23,9E,1295304,NY,0,0,,0,,,,,
8/29/23,9E,1295304,NY,0,0,,0,,,,,
8/30/23,9E,1295304,NY,6,0,,0,,,,,
8/31/23,9E,1295304,NY,0,0,,0,,,,,
8/5/23,9E,1295304,NY,109,0,,0,0,0,0,0,90
8/12/23,9E,1295304,NY,202,0,,0,11,0,0,0,172
8/19/23,9E,1295304,NY,0,0,,0,,,,,
8/26/23,9E,1295304,NY,34,0,,0,29,0,0,0,0
8/6/23,9E,1025702,NY,0,0,,0,,,,,
8/13/23,9E,1025702,NY,0,0,,0,,,,,
8/20/23,9E,1025702,NY,0,0,,0,,,,,
8/27/23,9E,1025702,NY,0,0,,0,,,,,
8/1/23,9E,1247805,NY,0,0,,0,,,,,
8/2/23,9E,1247805,NY,0,0,,0,,,,,
8/3/23,9E,1247805,NY,0,0,,0,,,,,
8/4/23,9E,1247805,NY,0,0,,0,,,,,
8/7/23,9E,1247805,NY,,1,B,0,,,,,
8/8/23,9E,1247805,NY,0,0,,0,,,,,
8/9/23,9E,1247805,NY,0,0,,0,,,,,
8/10/23,9E,1247805,NY,45,0,,0,0,0,0,0,17
8/11/23,9E,1247805,NY,0,0,,0,,,,,
8/14/23,9E,1247805,NY,0,0,,0,,,,,
8/15/23,9E,1247805,NY,0,0,,0,0,0,49,0,0
8/16/23,9E,1247805,NY,0,0,,0,,,,,
8/17/23,9E,1247805,NY,0,0,,0,,,,,
8/18/23,9E,1247805,NY,0,0,,0,,,,,
8/21/23,9E,1247805,NY,0,0,,0,,,,,
8/22/23,9E,1247805,NY,0,0,,0,,,,,
8/23/23,9E,1247805,NY,0,0,,0,,,,,
8/24/23,9E,1247805,NY,0,0,,0,0,0,25,0,0
8/25/23,9E,1247805,NY,0,0,,0,,,,,
8/28/23,9E,1247805,NY,0,0,,0,,,,,
8/29/23,9E,1247805,NY,0,0,,0,,,,,
8/30/23,9E,1247805,NY,0,0,,0,,,,,
8/31/23,9E,1247805,NY,8,0,,0,,,,,
8/1/23,9E,1295304,NY,0,0,,0,,,,,
8/2/23,9E,1295304,NY,60,0,,0,5,0,0,0,22
8/3/23,9E,1295304,NY,4,0,,0,,,,,
8/4/23,9E,1295304,NY,30,0,,0,0,0,47,0,30
8/6/23,9E,1295304,NY,0,0,,0,,,,,
8/7/23,9E,1295304,NY,255,0,,0,0,0,241,0,0
8/8/23,9E,1295304,NY,41,0,,0,15,0,0,0,0
8/9/23,9E,1295304,NY,114,0,,0,0,0,0,0,95
8/10/23,9E,1295304,NY,28,0,,0,,,,,
8/11/23,9E,1295304,NY,0,0,,0,,,,,
8/13/23,9E,1295304,NY,2,0,,0,,,,,
8/14/23,9E,1295304,NY,0,0,,0,,,,,
8/15/23,9E,1295304,NY,0,0,,0,,,,,
8/16/23,9E,1295304,NY,0,0,,0,,,,,
8/17/23,9E,1295304,NY,0,0,,0,,,,,
8/18/23,9E,1295304,NY,19,0,,0,,,,,
8/20/23,9E,1295304,NY,0,0,,0,,,,,
8/21/23,9E,1295304,NY,0,0,,0,,,,,
8/22/23,9E,1295304,NY,0,0,,0,,,,,
8/23/23,9E,1295304,NY,0,0,,0,,,,,
8/24/23,9E,1295304,NY,21,0,,0,0,0,42,0,21
8/25/23,9E,1295304,NY,35,0,,0,,,,,
8/27/23,9E,1295304,NY,0,0,,0,,,,,
8/28/23,9E,1295304,NY,0,0,,0,,,,,
8/29/23,9E,1295304,NY,0,0,,0,,,,,
8/30/23,9E,1295304,NY,0,0,,0,,,,,
8/31/23,9E,1295304,NY,0,0,,0,,,,,
8/1/23,9E,1295304,NY,0,0,,0,,,,,
8/2/23,9E,1295304,NY,0,0,,0,,,,,
8/3/23,9E,1295304,NY,0,0,,0,,,,,
8/4/23,9E,1295304,NY,0,0,,0,,,,,
8/6/23,9E,1295304,NY,0,0,,0,,,,,
8/7/23,9E,1295304,NY,,1,B,0,,,,,
8/8/23,9E,1295304,NY,24,0,,0,,,,,
8/9/23,9E,1295304,NY,0,0,,0,,,,,
8/10/23,9E,1295304,NY,0,0,,0,,,,,
8/11/23,9E,1295304,NY,47,0,,0,27,0,0,0,0
8/13/23,9E,1295304,NY,0,0,,0,,,,,
8/14/23,9E,1295304,NY,0,0,,0,,,,,
8/15/23,9E,1295304,NY,1,0,,0,,,,,
8/16/23,9E,1295304,NY,0,0,,0,,,,,
8/17/23,9E,1295304,NY,0,0,,0,0,0,15,0,0
8/18/23,9E,1295304,NY,12,0,,0,,,,,
8/20/23,9E,1295304,NY,0,0,,0,,,,,
8/21/23,9E,1295304,NY,0,0,,0,,,,,
8/22/23,9E,1295304,NY,0,0,,0,,,,,
8/23/23,9E,1295304,NY,0,0,,0,,,,,
8/24/23,9E,1295304,NY,99,0,,0,0,0,0,0,70
8/25/23,9E,1295304,NY,0,0,,0,,,,,
8/27/23,9E,1295304,NY,0,0,,0,,,,,
8/28/23,9E,1295304,NY,71,0,,0,49,0,0,0,14
8/29/23,9E,1295304,NY,59,0,,0,39,0,0,0,0
8/30/23,9E,1295304,NY,,1,B,0,,,,,
8/31/23,9E,1295304,NY,0,0,,0,,,,,
8/1/23,9E,1295304,NY,0,0,,0,,,,,
8/2/23,9E,1295304,NY,0,0,,0,,,,,
8/3/23,9E,1295304,NY,0,0,,0,,,,,
8/4/23,9E,1295304,NY,,1,C,0,,,,,
8/6/23,9E,1295304,NY,65,0,,0,0,0,79,0,0
8/7/23,9E,1295304,NY,,1,B,0,,,,,
8/8/23,9E,1295304,NY,14,0,,0,,,,,
8/9/23,9E,1295304,NY,2,0,,0,,,,,
8/10/23,9E,1295304,NY,35,0,,0,,,,,
8/11/23,9E,1295304,NY,0,0,,0,,,,,
8/13/23,9E,1295304,NY,1,0,,0,,,,,
8/14/23,9E,1295304,NY,0,0,,0,,,,,
8/15/23,9E,1295304,NY,0,0,,0,,,,,
8/16/23,9E,1295304,NY,0,0,,0,,,,,
8/17/23,9E,1295304,NY,0,0,,0,,,,,
8/18/23,9E,1295304,NY,72,0,,0,0,0,0,0,47
8/20/23,9E,1295304,NY,0,0,,0,,,,,
8/21/23,9E,1295304,NY,0,0,,0,,,,,
8/22/23,9E,1295304,NY,0,0,,0,,,,,
8/23/23,9E,1295304,NY,0,0,,0,,,,,
8/24/23,9E,1295304,NY,0,0,,0,,,,,
8/25/23,9E,1295304,NY,0,0,,0,,,,,
8/27/23,9E,1295304,NY,0,0,,0,0,0,29,0,0
8/28/23,9E,1295304,NY,0,0,,0,,,,,
8/29/23,9E,1295304,NY,20,0,,0,11,0,36,0,9
8/30/23,9E,1295304,NY,0,0,,0,,,,,
8/31/23,9E,1295304,NY,0,0,,0,,,,,
8/1/23,9E,1295304,NY,0,0,,0,,,,,
8/2/23,9E,1295304,NY,4,0,,0,,,,,
8/8/23,9E,1295304,NY,26,0,,0,,,,,
8/9/23,9E,1295304,NY,7,0,,0,,,,,
8/15/23,9E,1295304,NY,0,0,,0,,,,,
8/16/23,9E,1295304,NY,0,0,,0,,,,,
8/22/23,9E,1295304,NY,0,0,,0,,,,,
8/23/23,9E,1295304,NY,0,0,,0,,,,,
8/29/23,9E,1295304,NY,46,0,,0,24,0,0,0,0
8/30/23,9E,1295304,NY,85,0,,0,3,0,0,0,65
8/1/23,9E,1247805,NY,0,0,,0,,,,,
8/2/23,9E,1247805,NY,0,0,,0,,,,,
8/3/23,9E,1247805,NY,29,0,,0,29,0,2,0,0
8/4/23,9E,1247805,NY,0,0,,0,,,,,
8/5/23,9E,1247805,NY,0,0,,0,,,,,
8/6/23,9E,1247805,NY,0,0,,0,,,,,
8/7/23,9E,1247805,NY,0,0,,0,,,,,
8/8/23,9E,1247805,NY,,1,A,0,,,,,
8/9/23,9E,1247805,NY,0,0,,0,,,,,
8/10/23,9E,1247805,NY,0,0,,0,,,,,
8/11/23,9E,1247805,NY,0,0,,0,,,,,
8/12/23,9E,1247805,NY,0,0,,0,,,,,
8/13/23,9E,1247805,NY,0,0,,0,,,,,
8/14/23,9E,1247805,NY,0,0,,0,,,,,
8/15/23,9E,1247805,NY,0,0,,0,,,,,
8/16/23,9E,1247805,NY,0,0,,0,,,,,
8/17/23,9E,1247805,NY,0,0,,0,,,,,
8/18/23,9E,1247805,NY,0,0,,0,,,,,
8/19/23,9E,1247805,NY,65,0,,0,65,0,8,0,0
8/20/23,9E,1247805,NY,0,0,,0,,,,,
8/21/23,9E,1247805,NY,4,0,,0,,,,,
8/22/23,9E,1247805,NY,0,0,,0,,,,,
8/23/23,9E,1247805,NY,0,0,,0,,,,,
8/24/23,9E,1247805,NY,81,1,C,0,,,,,
8/25/23,9E,1247805,NY,0,0,,0,,,,,
8/26/23,9E,1247805,NY,0,0,,0,,,,,
8/27/23,9E,1247805,NY,0,0,,0,,,,,
8/28/23,9E,1247805,NY,0,0,,0,,,,,
8/29/23,9E,1247805,NY,0,0,,0,,,,,
8/30/23,9E,1247805,NY,0,0,,0,0,0,27,0,0
8/31/23,9E,1247805,NY,0,0,,0,,,,,
8/1/23,9E,1295304,NY,0,0,,0,,,,,
8/2/23,9E,1295304,NY,0,0,,0,,,,,
8/3/23,9E,1295304,NY,0,0,,0,,,,,
8/4/23,9E,1295304,NY,0,0,,0,,,,,
8/5/23,9E,1295304,NY,4,0,,0,,,,,
8/6/23,9E,1295304,NY,0,0,,0,,,,,
8/7/23,9E,1295304,NY,0,0,,0,,,,,
8/8/23,9E,1295304,NY,17,0,,0,,,,,
8/9/23,9E,1295304,NY,0,0,,0,,,,,
8/10/23,9E,1295304,NY,0,0,,0,,,,,
8/11/23,9E,1295304,NY,0,0,,0,,,,,
8/12/23,9E,1295304,NY,0,0,,0,,,,,
8/13/23,9E,1295304,NY,0,0,,0,,,,,
8/14/23,9E,1295304,NY,0,0,,0,,,,,
8/15/23,9E,1295304,NY,0,0,,0,,,,,
8/16/23,9E,1295304,NY,0,0,,0,,,,,
8/17/23,9E,1295304,NY,0,0,,0,,,,,
8/18/23,9E,1295304,NY,15,0,,0,,,,,
8/19/23,9E,1295304,NY,17,0,,0,,,,,
8/20/23,9E,1295304,NY,0,0,,0,,,,,
8/21/23,9E,1295304,NY,0,0,,0,,,,,
8/22/23,9E,1295304,NY,0,0,,0,,,,,
8/23/23,9E,1295304,NY,0,0,,0,,,,,
8/24/23,9E,1295304,NY,0,0,,0,,,,,
8/25/23,9E,1295304,NY,0,0,,0,,,,,
8/26/23,9E,1295304,NY,3,0,,0,,,,,
8/28/23,9E,1295304,NY,0,0,,0,,,,,
8/29/23,9E,1295304,NY,0,0,,0,,,,,
8/30/23,9E,1295304,NY,0,0,,0,,,,,
8/31/23,9E,1295304,NY,0,0,,0,,,,,
8/6/23,9E,1430706,RI,0,0,,0,,,,,
8/13/23,9E,1430706,RI,1,0,,0,,,,,
8/20/23,9E,1430706,RI,0,0,,0,,,,,
8/27/23,9E,1430706,RI,0,0,,0,,,,,
8/5/23,9E,1295304,NY,24,0,,0,,,,,
8/12/23,9E,1295304,NY,0,0,,0,0,0,23,0,0
8/19/23,9E,1295304,NY,40,0,,0,,,,,
8/26/23,9E,1295304,NY,0,0,,0,,,,,
8/1/23,9E,1295304,NY,0,0,,0,,,,,
8/2/23,9E,1295304,NY,0,0,,0,,,,,
8/3/23,9E,1295304,NY,0,0,,0,,,,,
8/4/23,9E,1295304,NY,5,0,,0,,,,,
8/5/23,9E,1295304,NY,0,0,,0,,,,,
8/6/23,9E,1295304,NY,0,0,,0,,,,,
8/7/23,9E,1295304,NY,72,0,,0,72,0,22,0,0
8/8/23,9E,1295304,NY,14,0,,0,,,,,
8/9/23,9E,1295304,NY,39,0,,0,0,0,0,0,19
8/10/23,9E,1295304,NY,21,0,,0,0,0,16,0,21
8/11/23,9E,1295304,NY,0,0,,0,,,,,
8/12/23,9E,1295304,NY,0,0,,0,,,,,
8/13/23,9E,1295304,NY,4,0,,0,,,,,
8/14/23,9E,1295304,NY,2,0,,0,,,,,
8/15/23,9E,1295304,NY,0,0,,0,,,,,
8/16/23,9E,1295304,NY,0,0,,0,,,,,
8/17/23,9E,1295304,NY,0,0,,0,,,,,
8/18/23,9E,1295304,NY,66,0,,0,0,0,0,0,48
8/19/23,9E,1295304,NY,0,0,,0,,,,,
8/20/23,9E,1295304,NY,4,0,,0,,,,,
8/21/23,9E,1295304,NY,0,0,,0,,,,,
8/22/23,9E,1295304,NY,0,0,,0,,,,,
8/23/23,9E,1295304,NY,0,0,,0,,,,,
8/24/23,9E,1295304,NY,195,0,,0,0,0,6,0,195
8/25/23,9E,1295304,NY,16,0,,0,,,,,
8/26/23,9E,1295304,NY,0,0,,0,,,,,
8/27/23,9E,1295304,NY,0,0,,0,,,,,
8/28/23,9E,1295304,NY,0,0,,0,,,,,
8/29/23,9E,1295304,NY,0,0,,0,,,,,
8/30/23,9E,1295304,NY,0,0,,0,,,,,
8/31/23,9E,1295304,NY,6,0,,0,,,,,
8/5/23,9E,1432105,ME,67,0,,0,65,0,0,0,0
8/12/23,9E,1432105,ME,0,0,,0,0,0,39,0,0
8/19/23,9E,1432105,ME,38,0,,0,,,,,
8/1/23,9E,1432105,ME,0,0,,0,,,,,
8/2/23,9E,1432105,ME,0,0,,0,,,,,
8/3/23,9E,1432105,ME,0,0,,0,,,,,
