FlightDate,Reporting_Airline,OriginAirportSeqID,OriginState,DepDelayMinutes,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
11/5/23,9E,1295304,NY,5,0,,0,,,,,
11/6/23,9E,1295304,NY,0,0,,0,,,,,
11/7/23,9E,1295304,NY,0,0,,0,,,,,
11/8/23,9E,1295304,NY,0,0,,0,,,,,
11/9/23,9E,1295304,NY,0,0,,0,,,,,
11/10/23,9E,1295304,NY,0,0,,0,,,,,
11/12/23,9E,1295304,NY,0,0,,0,,,,,
11/13/23,9E,1295304,NY,0,0,,0,,,,,
11/14/23,9E,1295304,NY,0,0,,0,,,,,
11/15/23,9E,1295304,NY,0,0,,0,,,,,
11/16/23,9E,1295304,NY,0,0,,0,,,,,
11/17/23,9E,1295304,NY,0,0,,0,,,,,
11/19/23,9E,1295304,NY,0,0,,0,,,,,
11/20/23,9E,1295304,NY,5,0,,0,,,,,
11/21/23,9E,1295304,NY,14,0,,0,,,,,
11/22/23,9E,1295304,NY,9,0,,0,,,,,
11/26/23,9E,1295304,NY,0,0,,0,,,,,
11/27/23,9E,1295304,NY,0,0,,0,,,,,
11/28/23,9E,1295304,NY,0,0,,0,,,,,
11/29/23,9E,1295304,NY,0,0,,0,,,,,
11/30/23,9E,1295304,NY,0,0,,0,,,,,
11/5/23,9E,1295304,NY,0,0,,0,,,,,
11/6/23,9E,1295304,NY,0,0,,0,,,,,
11/7/23,9E,1295304,NY,1,0,,0,,,,,
11/8/23,9E,1295304,NY,0,0,,0,,,,,
11/9/23,9E,1295304,NY,0,0,,0,,,,,
11/10/23,9E,1295304,NY,0,0,,0,,,,,
11/12/23,9E,1295304,NY,0,0,,0,,,,,
11/13/23,9E,1295304,NY,0,0,,0,,,,,
11/14/23,9E,1295304,NY,0,0,,0,,,,,
11/15/23,9E,1295304,NY,0,0,,0,,,,,
11/16/23,9E,1295304,NY,0,0,,0,,,,,
11/17/23,9E,1295304,NY,0,0,,0,,,,,
11/19/23,9E,1295304,NY,0,0,,0,,,,,
11/20/23,9E,1295304,NY,0,0,,0,,,,,
11/21/23,9E,1295304,NY,0,0,,0,,,,,
11/22/23,9E,1295304,NY,0,0,,0,,,,,
11/23/23,9E,1295304,NY,0,0,,0,,,,,
11/24/23,9E,1295304,NY,0,0,,0,,,,,
11/25/23,9E,1295304,NY,0,0,,0,,,,,
11/26/23,9E,1295304,NY,0,0,,0,0,0,60,0,0
11/27/23,9E,1295304,NY,0,0,,0,,,,,
11/28/23,9E,1295304,NY,0,0,,0,,,,,
11/29/23,9E,1295304,NY,0,0,,0,,,,,
11/30/23,9E,1295304,NY,0,0,,0,,,,,
11/5/23,9E,1295304,NY,0,0,,0,,,,,
11/6/23,9E,1295304,NY,0,0,,0,,,,,
11/7/23,9E,1295304,NY,0,0,,0,,,,,
11/8/23,9E,1295304,NY,0,0,,0,,,,,
11/9/23,9E,1295304,NY,0,0,,0,,,,,
11/10/23,9E,1295304,NY,0,0,,0,,,,,
11/12/23,9E,1295304,NY,0,0,,0,,,,,
11/13/23,9E,1295304,NY,0,0,,0,,,,,
11/14/23,9E,1295304,NY,0,0,,0,,,,,
11/15/23,9E,1295304,NY,0,0,,0,,,,,
11/16/23,9E,1295304,NY,32,0,,0,,,,,
11/17/23,9E,1295304,NY,0,0,,0,,,,,
11/19/23,9E,1295304,NY,0,0,,0,,,,,
11/20/23,9E,1295304,NY,0,0,,0,,,,,
11/21/23,9E,1295304,NY,22,0,,0,22,0,3,0,0
11/22/23,9E,1295304,NY,0,0,,0,,,,,
11/26/23,9E,1295304,NY,0,0,,0,,,,,
11/27/23,9E,1295304,NY,0,0,,0,,,,,
11/28/23,9E,1295304,NY,0,0,,0,,,,,
11/29/23,9E,1295304,NY,0,0,,0,,,,,
11/30/23,9E,1295304,NY,0,0,,0,,,,,
11/5/23,9E,1247805,NY,0,0,,0,,,,,
11/6/23,9E,1247805,NY,0,0,,0,,,,,
11/7/23,9E,1247805,NY,0,0,,0,,,,,
11/8/23,9E,1247805,NY,0,0,,0,,,,,
11/9/23,9E,1247805,NY,0,0,,0,,,,,
11/10/23,9E,1247805,NY,0,0,,0,,,,,
11/11/23,9E,1247805,NY,0,0,,0,,,,,
11/12/23,9E,1247805,NY,5,0,,0,,,,,
11/13/23,9E,1247805,NY,0,0,,0,,,,,
11/14/23,9E,1247805,NY,0,0,,0,,,,,
11/15/23,9E,1247805,NY,0,0,,0,,,,,
11/16/23,9E,1247805,NY,0,0,,0,,,,,
11/17/23,9E,1247805,NY,0,0,,0,,,,,
11/18/23,9E,1247805,NY,0,0,,0,,,,,
11/19/23,9E,1247805,NY,0,0,,0,,,,,
11/20/23,9E,1247805,NY,0,0,,0,,,,,
11/21/23,9E,1247805,NY,0,0,,0,,,,,
11/22/23,9E,1247805,NY,0,0,,0,,,,,
11/25/23,9E,1247805,NY,0,0,,0,,,,,
11/26/23,9E,1247805,NY,0,0,,0,,,,,
11/27/23,9E,1247805,NY,0,0,,0,,,,,
11/28/23,9E,1247805,NY,0,0,,0,,,,,
11/29/23,9E,1247805,NY,0,0,,0,,,,,
11/30/23,9E,1247805,NY,0,0,,0,,,,,
11/5/23,9E,1295304,NY,0,0,,0,,,,,
11/6/23,9E,1295304,NY,0,0,,0,,,,,
11/7/23,9E,1295304,NY,0,0,,0,,,,,
11/8/23,9E,1295304,NY,0,0,,0,,,,,
11/9/23,9E,1295304,NY,0,0,,0,,,,,
11/10/23,9E,1295304,NY,0,0,,0,,,,,
11/11/23,9E,1295304,NY,0,0,,0,,,,,
11/12/23,9E,1295304,NY,0,0,,0,,,,,
11/13/23,9E,1295304,NY,0,0,,0,,,,,
11/14/23,9E,1295304,NY,0,0,,0,,,,,
11/15/23,9E,1295304,NY,0,0,,0,,,,,
11/16/23,9E,1295304,NY,11,0,,0,,,,,
11/17/23,9E,1295304,NY,21,0,,0,,,,,
11/18/23,9E,1295304,NY,0,0,,0,,,,,
11/19/23,9E,1295304,NY,0,0,,0,,,,,
11/20/23,9E,1295304,NY,0,0,,0,,,,,
11/21/23,9E,1295304,NY,0,0,,0,,,,,
11/22/23,9E,1295304,NY,0,0,,0,,,,,
11/24/23,9E,1295304,NY,0,0,,0,,,,,
11/25/23,9E,1295304,NY,0,0,,0,,,,,
11/26/23,9E,1295304,NY,0,0,,0,,,,,
11/27/23,9E,1295304,NY,0,0,,0,,,,,
11/28/23,9E,1295304,NY,0,0,,0,,,,,
11/29/23,9E,1295304,NY,0,0,,0,,,,,
11/30/23,9E,1295304,NY,0,0,,0,,,,,
11/5/23,9E,1295304,NY,0,0,,0,,,,,
11/6/23,9E,1295304,NY,0,0,,0,,,,,
11/7/23,9E,1295304,NY,0,0,,0,,,,,
11/8/23,9E,1295304,NY,0,0,,0,,,,,
11/9/23,9E,1295304,NY,0,0,,0,,,,,
11/10/23,9E,1295304,NY,0,0,,0,,,,,
11/12/23,9E,1295304,NY,57,0,,0,23,0,0,0,0
11/13/23,9E,1295304,NY,12,0,,0,,,,,
11/14/23,9E,1295304,NY,0,0,,0,,,,,
11/15/23,9E,1295304,NY,0,0,,0,,,,,
11/16/23,9E,1295304,NY,14,0,,0,,,,,
11/17/23,9E,1295304,NY,0,0,,0,,,,,
11/19/23,9E,1295304,NY,0,0,,0,,,,,
11/20/23,9E,1295304,NY,6,0,,0,,,,,
11/21/23,9E,1295304,NY,20,0,,0,1,0,0,0,19
11/22/23,9E,1295304,NY,18,0,,0,,,,,
11/25/23,9E,1295304,NY,0,0,,0,,,,,
11/26/23,9E,1295304,NY,0,0,,0,,,,,
11/27/23,9E,1295304,NY,8,0,,0,,,,,
11/28/23,9E,1295304,NY,0,0,,0,,,,,
11/29/23,9E,1295304,NY,0,0,,0,,,,,
11/30/23,9E,1295304,NY,0,0,,0,,,,,
11/5/23,9E,1247805,NY,0,0,,0,,,,,
11/6/23,9E,1247805,NY,0,0,,0,,,,,
11/7/23,9E,1247805,NY,0,0,,0,,,,,
11/8/23,9E,1247805,NY,0,0,,0,,,,,
11/9/23,9E,1247805,NY,10,0,,0,,,,,
11/10/23,9E,1247805,NY,0,0,,0,,,,,
11/11/23,9E,1247805,NY,0,0,,0,,,,,
11/12/23,9E,1247805,NY,0,0,,0,,,,,
11/13/23,9E,1247805,NY,0,0,,0,,,,,
11/14/23,9E,1247805,NY,0,0,,0,,,,,
11/15/23,9E,1247805,NY,5,0,,0,,,,,
11/16/23,9E,1247805,NY,0,0,,0,,,,,
11/17/23,9E,1247805,NY,0,0,,0,,,,,
11/18/23,9E,1247805,NY,0,0,,0,,,,,
11/19/23,9E,1247805,NY,6,0,,0,,,,,
11/20/23,9E,1247805,NY,12,0,,0,,,,,
11/21/23,9E,1247805,NY,0,0,,0,,,,,
11/22/23,9E,1247805,NY,1,0,,0,,,,,
11/25/23,9E,1247805,NY,0,0,,0,,,,,
11/26/23,9E,1247805,NY,0,0,,0,,,,,
11/27/23,9E,1247805,NY,6,0,,0,6,0,17,0,0
11/28/23,9E,1247805,NY,0,0,,0,,,,,
11/29/23,9E,1247805,NY,0,0,,0,,,,,
11/30/23,9E,1247805,NY,0,0,,0,,,,,
11/5/23,9E,1247805,NY,0,0,,0,,,,,
11/6/23,9E,1247805,NY,0,0,,0,,,,,
11/7/23,9E,1247805,NY,0,0,,0,,,,,
11/8/23,9E,1247805,NY,0,0,,0,,,,,
11/9/23,9E,1247805,NY,0,0,,0,,,,,
11/10/23,9E,1247805,NY,0,0,,0,,,,,
11/11/23,9E,1247805,NY,12,0,,0,,,,,
11/12/23,9E,1247805,NY,13,0,,0,,,,,
11/13/23,9E,1247805,NY,0,0,,0,,,,,
11/14/23,9E,1247805,NY,0,0,,0,,,,,
11/15/23,9E,1247805,NY,43,0,,0,41,0,0,0,0
11/16/23,9E,1247805,NY,0,0,,0,,,,,
11/17/23,9E,1247805,NY,0,0,,0,,,,,
11/18/23,9E,1247805,NY,0,0,,0,,,,,
11/19/23,9E,1247805,NY,0,0,,0,,,,,
11/20/23,9E,1247805,NY,0,0,,0,,,,,
11/21/23,9E,1247805,NY,0,0,,0,,,,,
11/22/23,9E,1247805,NY,8,0,,0,0,0,15,0,8
11/25/23,9E,1247805,NY,0,0,,0,,,,,
11/26/23,9E,1247805,NY,4,0,,0,,,,,
11/27/23,9E,1247805,NY,0,0,,0,,,,,
11/28/23,9E,1247805,NY,0,0,,0,,,,,
11/29/23,9E,1247805,NY,0,0,,0,,,,,
11/30/23,9E,1247805,NY,0,0,,0,,,,,
11/6/23,9E,1219702,NY,0,0,,0,,,,,
11/8/23,9E,1219702,NY,2,0,,0,,,,,
11/9/23,9E,1219702,NY,0,0,,0,,,,,
11/10/23,9E,1219702,NY,3,0,,0,,,,,
11/11/23,9E,1219702,NY,0,0,,0,,,,,
11/12/23,9E,1219702,NY,8,0,,0,,,,,
11/13/23,9E,1219702,NY,0,0,,0,,,,,
11/15/23,9E,1219702,NY,0,0,,0,,,,,
11/16/23,9E,1219702,NY,0,0,,0,,,,,
11/17/23,9E,1219702,NY,0,0,,0,,,,,
11/18/23,9E,1219702,NY,1,0,,0,,,,,
11/19/23,9E,1219702,NY,0,0,,0,,,,,
11/20/23,9E,1219702,NY,10,0,,0,,,,,
11/21/23,9E,1219702,NY,0,0,,0,,,,,
11/22/23,9E,1219702,NY,0,0,,0,,,,,
11/23/23,9E,1219702,NY,0,0,,0,,,,,
11/24/23,9E,1219702,NY,0,0,,0,,,,,
11/25/23,9E,1219702,NY,7,0,,0,,,,,
11/26/23,9E,1219702,NY,0,0,,0,,,,,
11/27/23,9E,1219702,NY,0,0,,0,,,,,
11/28/23,9E,1219702,NY,0,0,,0,,,,,
11/29/23,9E,1219702,NY,0,0,,0,,,,,
11/30/23,9E,1219702,NY,0,0,,0,,,,,
11/5/23,9E,1432105,ME,0,0,,0,,,,,
11/6/23,9E,1432105,ME,5,0,,0,,,,,
11/7/23,9E,1432105,ME,0,0,,0,,,,,
11/8/23,9E,1432105,ME,0,0,,0,,,,,
11/9/23,9E,1432105,ME,0,0,,0,,,,,
11/10/23,9E,1432105,ME,0,0,,0,,,,,
11/11/23,9E,1432105,ME,2,0,,0,,,,,
11/12/23,9E,1432105,ME,0,0,,0,,,,,
11/13/23,9E,1432105,ME,0,0,,0,,,,,
11/14/23,9E,1432105,ME,0,0,,0,,,,,
11/15/23,9E,1432105,ME,28,0,,0,,,,,
11/16/23,9E,1432105,ME,0,0,,0,,,,,
11/17/23,9E,1432105,ME,0,0,,0,,,,,
11/18/23,9E,1432105,ME,0,0,,0,,,,,
11/19/23,9E,1432105,ME,0,0,,0,0,0,24,0,0
11/20/23,9E,1432105,ME,0,0,,0,,,,,
11/21/23,9E,1432105,ME,0,0,,0,,,,,
11/22/23,9E,1432105,ME,0,0,,0,,,,,
11/23/23,9E,1432105,ME,0,0,,0,,,,,
11/24/23,9E,1432105,ME,0,0,,0,,,,,
11/25/23,9E,1432105,ME,0,0,,0,,,,,
11/26/23,9E,1432105,ME,0,0,,0,,,,,
11/27/23,9E,1432105,ME,0,0,,0,,,,,
11/28/23,9E,1432105,ME,0,0,,0,,,,,
11/29/23,9E,1432105,ME,0,0,,0,,,,,
11/30/23,9E,1432105,ME,0,0,,0,,,,,
11/5/23,9E,1295304,NY,0,0,,0,,,,,
11/6/23,9E,1295304,NY,0,0,,0,,,,,
11/7/23,9E,1295304,NY,0,0,,0,,,,,
11/8/23,9E,1295304,NY,0,0,,0,,,,,
11/9/23,9E,1295304,NY,7,0,,0,,,,,
11/10/23,9E,1295304,NY,33,0,,0,,,,,
11/12/23,9E,1295304,NY,0,0,,0,,,,,
11/13/23,9E,1295304,NY,0,0,,0,,,,,
11/14/23,9E,1295304,NY,0,0,,0,,,,,
11/15/23,9E,1295304,NY,0,0,,0,,,,,
11/16/23,9E,1295304,NY,45,0,,0,45,0,33,0,0
11/17/23,9E,1295304,NY,0,0,,0,,,,,
11/19/23,9E,1295304,NY,0,0,,0,,,,,
11/20/23,9E,1295304,NY,0,0,,0,,,,,
11/21/23,9E,1295304,NY,2,0,,0,,,,,
11/22/23,9E,1295304,NY,27,0,,0,2,0,0,0,13
11/26/23,9E,1295304,NY,28,0,,0,0,0,78,0,28
11/27/23,9E,1295304,NY,0,0,,0,,,,,
11/28/23,9E,1295304,NY,25,0,,0,,,,,
11/29/23,9E,1295304,NY,0,0,,0,,,,,
11/30/23,9E,1295304,NY,0,0,,0,,,,,
11/5/23,9E,1295304,NY,0,0,,0,,,,,
11/6/23,9E,1295304,NY,3,0,,0,,,,,
11/7/23,9E,1295304,NY,0,0,,0,,,,,
11/8/23,9E,1295304,NY,0,0,,0,,,,,
11/9/23,9E,1295304,NY,0,0,,0,,,,,
11/10/23,9E,1295304,NY,0,0,,0,,,,,
11/12/23,9E,1295304,NY,0,0,,0,,,,,
11/13/23,9E,1295304,NY,0,0,,0,,,,,
11/14/23,9E,1295304,NY,0,0,,0,,,,,
11/15/23,9E,1295304,NY,0,0,,0,,,,,
11/16/23,9E,1295304,NY,0,0,,0,,,,,
11/17/23,9E,1295304,NY,0,0,,0,,,,,
11/19/23,9E,1295304,NY,0,0,,0,,,,,
11/20/23,9E,1295304,NY,0,0,,0,,,,,
11/21/23,9E,1295304,NY,0,0,,0,,,,,
11/22/23,9E,1295304,NY,0,0,,0,,,,,
11/25/23,9E,1295304,NY,0,0,,0,,,,,
11/26/23,9E,1295304,NY,0,0,,0,,,,,
11/27/23,9E,1295304,NY,0,0,,0,,,,,
11/28/23,9E,1295304,NY,0,0,,0,,,,,
11/29/23,9E,1295304,NY,0,0,,0,,,,,
11/30/23,9E,1295304,NY,0,0,,0,,,,,
11/5/23,9E,1393305,MA,0,0,,0,,,,,
11/6/23,9E,1393305,MA,0,0,,0,,,,,
11/7/23,9E,1393305,MA,0,0,,0,,,,,
11/8/23,9E,1393305,MA,0,0,,0,,,,,
11/9/23,9E,1393305,MA,0,0,,0,,,,,
11/10/23,9E,1393305,MA,0,0,,0,,,,,
11/12/23,9E,1393305,MA,0,0,,0,,,,,
11/13/23,9E,1393305,MA,0,0,,0,,,,,
11/14/23,9E,1393305,MA,0,0,,0,,,,,
11/15/23,9E,1393305,MA,0,0,,0,,,,,
11/16/23,9E,1393305,MA,0,0,,0,,,,,
11/17/23,9E,1393305,MA,0,0,,0,,,,,
11/19/23,9E,1393305,MA,0,0,,0,,,,,
11/20/23,9E,1393305,MA,0,0,,0,,,,,
11/21/23,9E,1393305,MA,0,0,,0,,,,,
11/22/23,9E,1393305,MA,0,0,,0,,,,,
11/25/23,9E,1393305,MA,0,0,,0,,,,,
11/26/23,9E,1393305,MA,0,0,,0,,,,,
11/27/23,9E,1393305,MA,260,0,,0,174,0,0,0,75
11/28/23,9E,1393305,MA,0,0,,0,,,,,
11/29/23,9E,1393305,MA,0,0,,0,,,,,
11/30/23,9E,1393305,MA,0,0,,0,,,,,
11/5/23,9E,1247805,NY,0,0,,0,,,,,
11/6/23,9E,1247805,NY,0,0,,0,,,,,
11/7/23,9E,1247805,NY,0,0,,0,,,,,
11/8/23,9E,1247805,NY,0,0,,0,,,,,
11/9/23,9E,1247805,NY,0,0,,0,,,,,
11/10/23,9E,1247805,NY,0,0,,0,,,,,
11/11/23,9E,1247805,NY,0,0,,0,,,,,
11/12/23,9E,1247805,NY,0,0,,0,,,,,
11/13/23,9E,1247805,NY,0,0,,0,,,,,
11/14/23,9E,1247805,NY,0,0,,0,,,,,
11/15/23,9E,1247805,NY,0,0,,0,,,,,
11/16/23,9E,1247805,NY,0,0,,0,,,,,
11/17/23,9E,1247805,NY,0,0,,0,,,,,
11/18/23,9E,1247805,NY,0,0,,0,,,,,
11/19/23,9E,1247805,NY,0,0,,0,,,,,
11/20/23,9E,1247805,NY,0,0,,0,,,,,
11/21/23,9E,1247805,NY,0,0,,0,,,,,
11/22/23,9E,1247805,NY,0,0,,0,,,,,
11/25/23,9E,1247805,NY,0,0,,0,,,,,
11/26/23,9E,1247805,NY,0,0,,0,0,0,67,0,0
11/27/23,9E,1247805,NY,0,0,,0,,,,,
11/28/23,9E,1247805,NY,0,0,,0,,,,,
11/29/23,9E,1247805,NY,57,0,,0,32,0,0,0,0
11/30/23,9E,1247805,NY,0,0,,0,,,,,
11/5/23,9E,1430706,RI,0,0,,0,,,,,
11/6/23,9E,1430706,RI,65,0,,0,50,0,0,0,5
11/7/23,9E,1430706,RI,0,0,,0,,,,,
11/8/23,9E,1430706,RI,0,0,,0,,,,,
11/9/23,9E,1430706,RI,0,0,,0,,,,,
11/10/23,9E,1430706,RI,0,0,,0,,,,,
11/11/23,9E,1430706,RI,0,0,,0,,,,,
11/12/23,9E,1430706,RI,26,0,,0,,,,,
11/13/23,9E,1430706,RI,0,0,,0,,,,,
11/14/23,9E,1430706,RI,0,0,,0,,,,,
11/15/23,9E,1430706,RI,0,0,,0,,,,,
11/16/23,9E,1430706,RI,0,0,,0,,,,,
11/17/23,9E,1430706,RI,0,0,,0,,,,,
11/18/23,9E,1430706,RI,0,0,,0,,,,,
11/19/23,9E,1430706,RI,0,0,,0,,,,,
11/20/23,9E,1430706,RI,9,0,,0,,,,,
11/21/23,9E,1430706,RI,0,0,,0,,,,,
11/22/23,9E,1430706,RI,0,0,,0,,,,,
11/25/23,9E,1430706,RI,0,0,,0,,,,,
11/26/23,9E,1430706,RI,44,0,,0,8,0,0,0,25
11/27/23,9E,1430706,RI,14,0,,0,,,,,
11/30/23,9E,1430706,RI,0,0,,0,,,,,
11/4/23,9E,1295304,NY,0,0,,0,,,,,
11/23/23,9E,1052907,CT,0,0,,0,,,,,
11/24/23,9E,1052907,CT,0,0,,0,,,,,
11/5/23,9E,1457607,NY,0,0,,0,,,,,
11/6/23,9E,1457607,NY,0,0,,0,,,,,
11/7/23,9E,1457607,NY,0,0,,0,,,,,
11/8/23,9E,1457607,NY,0,0,,0,,,,,
11/9/23,9E,1457607,NY,0,0,,0,,,,,
11/10/23,9E,1457607,NY,0,0,,0,,,,,
11/11/23,9E,1457607,NY,32,0,,0,,,,,
11/12/23,9E,1457607,NY,0,0,,0,,,,,
11/13/23,9E,1457607,NY,0,0,,0,,,,,
11/14/23,9E,1457607,NY,0,0,,0,,,,,
11/15/23,9E,1457607,NY,0,0,,0,,,,,
11/16/23,9E,1457607,NY,14,0,,0,,,,,
11/17/23,9E,1457607,NY,54,0,,0,0,0,0,0,27
11/18/23,9E,1457607,NY,0,0,,0,,,,,
11/19/23,9E,1457607,NY,0,0,,0,,,,,
11/20/23,9E,1457607,NY,0,0,,0,,,,,
11/21/23,9E,1457607,NY,3,0,,0,,,,,
11/22/23,9E,1457607,NY,0,0,,0,,,,,
11/25/23,9E,1457607,NY,1,0,,0,,,,,
11/26/23,9E,1457607,NY,12,0,,0,,,,,
11/27/23,9E,1457607,NY,6,0,,0,,,,,
11/28/23,9E,1457607,NY,0,0,,0,,,,,
11/29/23,9E,1457607,NY,0,0,,0,,,,,
11/30/23,9E,1457607,NY,0,0,,0,,,,,
11/5/23,9E,1247805,NY,0,0,,0,,,,,
11/6/23,9E,1247805,NY,0,0,,0,,,,,
11/7/23,9E,1247805,NY,9,0,,0,,,,,
11/8/23,9E,1247805,NY,0,0,,0,,,,,
11/9/23,9E,1247805,NY,0,0,,0,,,,,
11/10/23,9E,1247805,NY,0,0,,0,,,,,
11/11/23,9E,1247805,NY,0,0,,0,,,,,
11/12/23,9E,1247805,NY,0,0,,0,,,,,
11/13/23,9E,1247805,NY,0,0,,0,,,,,
11/14/23,9E,1247805,NY,75,0,,0,48,0,0,0,0
11/15/23,9E,1247805,NY,0,0,,0,,,,,
11/16/23,9E,1247805,NY,0,0,,0,,,,,
11/17/23,9E,1247805,NY,0,0,,0,,,,,
11/18/23,9E,1247805,NY,0,0,,0,,,,,
11/19/23,9E,1247805,NY,0,0,,0,,,,,
11/20/23,9E,1247805,NY,0,0,,0,,,,,
11/21/23,9E,1247805,NY,0,0,,0,,,,,
11/22/23,9E,1247805,NY,0,0,,0,,,,,
11/25/23,9E,1247805,NY,0,0,,0,,,,,
11/26/23,9E,1247805,NY,0,0,,0,,,,,
11/27/23,9E,1247805,NY,0,0,,0,,,,,
11/28/23,9E,1247805,NY,0,0,,0,,,,,
11/29/23,9E,1247805,NY,0,0,,0,,,,,
11/30/23,9E,1247805,NY,0,0,,0,,,,,
11/28/23,9E,1219702,NY,26,0,,0,,,,,
11/5/23,9E,1295304,NY,0,0,,0,,,,,
11/11/23,9E,1295304,NY,0,0,,0,,,,,
11/12/23,9E,1295304,NY,0,0,,0,,,,,
11/18/23,9E,1295304,NY,2,0,,0,,,,,
11/19/23,9E,1295304,NY,0,0,,0,,,,,
11/25/23,9E,1295304,NY,0,0,,0,,,,,
11/5/23,9E,1247805,NY,0,0,,0,,,,,
11/6/23,9E,1247805,NY,0,0,,0,,,,,
11/7/23,9E,1247805,NY,0,0,,0,,,,,
11/8/23,9E,1247805,NY,0,0,,0,,,,,
11/9/23,9E,1247805,NY,0,0,,0,,,,,
11/10/23,9E,1247805,NY,0,0,,0,,,,,
11/11/23,9E,1247805,NY,4,0,,0,,,,,
11/12/23,9E,1247805,NY,0,0,,0,,,,,
11/13/23,9E,1247805,NY,0,0,,0,,,,,
11/14/23,9E,1247805,NY,0,0,,0,,,,,
11/15/23,9E,1247805,NY,0,0,,0,,,,,
11/16/23,9E,1247805,NY,0,0,,0,,,,,
11/17/23,9E,1247805,NY,0,0,,0,,,,,
11/18/23,9E,1247805,NY,0,0,,0,,,,,
11/19/23,9E,1247805,NY,8,0,,0,,,,,
11/20/23,9E,1247805,NY,0,0,,0,,,,,
11/21/23,9E,1247805,NY,1,0,,0,,,,,
11/22/23,9E,1247805,NY,38,0,,0,33,0,26,0,5
11/25/23,9E,1247805,NY,0,0,,0,,,,,
11/26/23,9E,1247805,NY,0,0,,0,,,,,
11/27/23,9E,1247805,NY,0,0,,0,,,,,
11/28/23,9E,1247805,NY,0,0,,0,,,,,
11/29/23,9E,1247805,NY,0,0,,0,,,,,
11/30/23,9E,1247805,NY,0,0,,0,,,,,
11/11/23,9E,1432105,ME,0,0,,0,,,,,
11/18/23,9E,1432105,ME,0,0,,0,,,,,
11/5/23,9E,1247805,NY,0,0,,0,,,,,
11/6/23,9E,1247805,NY,3,0,,0,,,,,
11/7/23,9E,1247805,NY,0,0,,0,,,,,
11/8/23,9E,1247805,NY,0,0,,0,,,,,
11/9/23,9E,1247805,NY,4,0,,0,,,,,
11/10/23,9E,1247805,NY,0,0,,0,,,,,
11/11/23,9E,1247805,NY,0,0,,0,,,,,
11/12/23,9E,1247805,NY,0,0,,0,,,,,
11/13/23,9E,1247805,NY,0,0,,0,,,,,
11/14/23,9E,1247805,NY,0,0,,0,,,,,
11/15/23,9E,1247805,NY,0,0,,0,,,,,
11/16/23,9E,1247805,NY,0,0,,0,,,,,
11/17/23,9E,1247805,NY,0,0,,0,,,,,
11/18/23,9E,1247805,NY,0,0,,0,,,,,
11/19/23,9E,1247805,NY,0,0,,0,,,,,
11/20/23,9E,1247805,NY,6,0,,0,,,,,
11/21/23,9E,1247805,NY,0,0,,0,,,,,
11/22/23,9E,1247805,NY,0,0,,0,,,,,
11/25/23,9E,1247805,NY,0,0,,0,,,,,
11/26/23,9E,1247805,NY,0,0,,0,,,,,
11/27/23,9E,1247805,NY,0,0,,0,,,,,
11/28/23,9E,1247805,NY,129,0,,0,129,0,2,0,0
11/29/23,9E,1247805,NY,0,0,,0,,,,,
11/30/23,9E,1247805,NY,0,0,,0,,,,,
11/5/23,9E,1457607,NY,0,0,,0,,,,,
11/6/23,9E,1457607,NY,0,0,,0,,,,,
11/7/23,9E,1457607,NY,0,0,,0,,,,,
11/8/23,9E,1457607,NY,0,0,,0,,,,,
11/9/23,9E,1457607,NY,17,0,,0,,,,,
11/10/23,9E,1457607,NY,0,0,,0,,,,,
11/11/23,9E,1457607,NY,0,0,,0,,,,,
11/12/23,9E,1457607,NY,0,0,,0,,,,,
11/13/23,9E,1457607,NY,0,0,,0,,,,,
11/14/23,9E,1457607,NY,0,0,,0,,,,,
11/15/23,9E,1457607,NY,0,0,,0,,,,,
11/16/23,9E,1457607,NY,0,0,,0,,,,,
11/17/23,9E,1457607,NY,0,0,,0,,,,,
11/18/23,9E,1457607,NY,0,0,,0,,,,,
11/19/23,9E,1457607,NY,0,0,,0,,,,,
11/20/23,9E,1457607,NY,0,0,,0,,,,,
11/21/23,9E,1457607,NY,0,0,,0,,,,,
11/22/23,9E,1457607,NY,0,0,,0,,,,,
11/23/23,9E,1457607,NY,0,0,,0,,,,,
11/24/23,9E,1457607,NY,0,0,,0,,,,,
11/25/23,9E,1457607,NY,0,0,,0,,,,,
11/26/23,9E,1457607,NY,0,0,,0,,,,,
11/27/23,9E,1457607,NY,0,0,,0,,,,,
11/28/23,9E,1457607,NY,0,0,,0,,,,,
11/29/23,9E,1457607,NY,0,0,,0,,,,,
11/30/23,9E,1457607,NY,0,0,,0,,,,,
11/5/23,9E,1295304,NY,0,0,,0,,,,,
11/6/23,9E,1295304,NY,0,0,,0,,,,,
11/7/23,9E,1295304,NY,0,0,,0,,,,,
11/8/23,9E,1295304,NY,0,0,,0,,,,,
11/9/23,9E,1295304,NY,0,0,,0,,,,,
11/10/23,9E,1295304,NY,0,0,,0,,,,,
11/12/23,9E,1295304,NY,0,0,,0,,,,,
11/13/23,9E,1295304,NY,0,0,,0,,,,,
11/14/23,9E,1295304,NY,0,0,,0,,,,,
11/15/23,9E,1295304,NY,5,0,,0,,,,,
11/16/23,9E,1295304,NY,0,0,,0,,,,,
11/19/23,9E,1295304,NY,0,0,,0,,,,,
11/20/23,9E,1295304,NY,0,0,,0,,,,,
